EmployeeID,Salary,Bonus,PayDate
1,111070,1236,2024-05-23
2,87273,3127,2024-05-11
3,79078,7218,2024-01-29
4,42987,2186,2024-01-23
5,61074,7822,2024-04-08
6,68039,4062,2024-03-03
7,108828,6781,2024-03-03
8,78569,8970,2024-05-12
9,51100,9565,2024-05-20
10,81294,3474,2024-01-15
11,65819,1611,2024-03-10
12,48292,7905,2024-06-24
13,115997,4995,2024-06-06
14,80444,3352,2024-06-12
15,113330,6503,2024-02-07
16,60129,2674,2024-02-08
17,77644,7915,2024-02-27
18,82729,8781,2024-04-11
19,81808,6726,2024-05-15
20,42173,2659,2024-03-23
21,114890,8326,2024-05-06
22,46874,6323,2024-05-20
23,101761,4549,2024-05-23
24,42757,8484,2024-03-14
25,52120,7835,2024-03-17
26,63842,7388,2024-01-07
27,109583,1243,2024-01-28
28,92462,3581,2024-03-26
29,113381,4215,2024-01-15
30,83864,3800,2024-02-25
31,105094,7410,2024-05-02
32,113364,2681,2024-05-08
33,61107,4047,2024-01-31
34,44930,1797,2024-04-12
35,89756,8363,2024-02-06
36,97308,5560,2024-06-10
37,60165,3274,2024-04-26
38,118957,9637,2024-04-05
39,40100,2655,2024-03-08
40,93942,3422,2024-01-31
41,114573,2781,2024-04-23
42,46037,7437,2024-01-29
43,94779,2307,2024-06-19
44,65247,6718,2024-04-21
45,92817,2631,2024-03-24
46,64813,4384,2024-02-21
47,88371,7941,2024-05-23
48,87354,3015,2024-02-11
49,96062,6538,2024-01-23
50,62957,9378,2024-01-31
51,78870,7015,2024-01-28
52,69849,4966,2024-03-26
53,108727,5049,2024-06-26
54,82661,6596,2024-06-13
55,80831,8824,2024-04-14
56,79308,6691,2024-03-23
57,43418,2004,2024-02-04
58,114314,6127,2024-06-11
59,71739,4796,2024-01-08
60,94198,5843,2024-02-28
61,81790,4293,2024-05-25
62,61674,2064,2024-04-01
63,111818,9404,2024-04-21
64,41337,5199,2024-01-17
65,76315,9772,2024-05-12
66,53657,9686,2024-03-12
67,45245,8116,2024-05-05
68,67342,5080,2024-01-20
69,43922,3596,2024-01-20
70,41221,1165,2024-04-05
71,86778,9926,2024-02-17
72,41924,1373,2024-04-11
73,96337,8459,2024-01-09
74,48901,7064,2024-01-06
75,81407,6681,2024-06-16
76,89502,4257,2024-05-17
77,114392,5361,2024-05-12
78,60099,7194,2024-06-05
79,114152,9177,2024-04-24
80,77028,3547,2024-01-17
81,43511,6156,2024-03-31
82,116440,8454,2024-06-08
83,106209,6746,2024-02-20
84,74706,8315,2024-05-23
85,85518,1035,2024-04-23
86,65329,5878,2024-02-19
87,112839,7173,2024-05-16
88,69419,1060,2024-04-19
89,83647,8505,2024-06-02
90,71649,7979,2024-03-14
91,94429,2057,2024-02-01
92,101046,5531,2024-02-16
93,82798,4958,2024-05-01
94,100278,2435,2024-01-24
95,68960,4300,2024-05-11
96,80738,9248,2024-06-08
97,111255,7421,2024-04-22
98,67260,4818,2024-05-21
99,67822,8498,2024-05-31
100,50738,3589,2024-04-10
101,72308,1957,2024-02-01
102,52910,6912,2024-04-06
103,78464,5210,2024-05-06
104,43404,7592,2024-05-01
105,101302,4940,2024-02-17
106,50825,1769,2024-01-03
107,77010,5354,2024-02-13
108,90951,2858,2024-01-28
109,75459,4834,2024-05-17
110,67724,6580,2024-04-26
111,111973,4742,2024-05-11
112,52404,2575,2024-05-28
113,82477,6709,2024-06-18
114,115312,3993,2024-01-29
115,79021,2306,2024-06-16
116,50194,2164,2024-05-03
117,115955,4313,2024-01-30
118,83569,1960,2024-06-13
119,84465,4492,2024-05-28
120,48266,4946,2024-06-06
121,78775,7432,2024-06-08
122,109140,8452,2024-04-24
123,108816,3780,2024-04-30
124,45162,2229,2024-02-04
125,78386,7703,2024-01-14
126,74202,5745,2024-01-21
127,76020,4599,2024-02-24
128,46448,7930,2024-01-19
129,87042,2181,2024-02-22
130,66214,4004,2024-04-30
131,65353,3514,2024-03-31
132,47426,7786,2024-04-22
133,51636,3083,2024-05-31
134,40612,4347,2024-02-20
135,109722,4984,2024-04-22
136,97961,4607,2024-03-22
137,82506,8820,2024-01-09
138,94888,5451,2024-05-17
139,83233,8021,2024-01-15
140,67045,7932,2024-01-28
141,60647,3988,2024-06-09
142,49120,3086,2024-03-28
143,98746,8210,2024-01-12
144,114650,8114,2024-03-08
145,105635,1362,2024-03-05
146,96537,5648,2024-02-19
147,107890,2903,2024-05-03
148,95060,2459,2024-03-20
149,85790,7947,2024-03-16
150,105180,1542,2024-06-24
151,41608,2799,2024-01-05
152,94546,8128,2024-02-27
153,70105,1239,2024-05-06
154,113255,8315,2024-02-16
155,51498,3893,2024-02-11
156,119483,7119,2024-05-30
157,70360,6944,2024-01-18
158,51922,7117,2024-04-25
159,105219,8623,2024-05-19
160,88851,1060,2024-01-28
161,99693,9216,2024-02-18
162,99530,4436,2024-06-18
163,103366,8463,2024-04-11
164,86947,1367,2024-02-11
165,83449,5212,2024-03-28
166,92115,5112,2024-03-03
167,98530,7362,2024-06-18
168,42098,8392,2024-01-03
169,77734,3654,2024-05-28
170,107604,2876,2024-02-18
171,112363,4863,2024-03-22
172,52918,4727,2024-04-22
173,78372,5268,2024-04-10
174,62893,6239,2024-04-16
175,117929,2591,2024-01-26
176,80642,7445,2024-05-18
177,54881,8138,2024-03-05
178,76741,4799,2024-05-18
179,71782,1432,2024-04-20
180,101185,6509,2024-05-07
181,105802,9569,2024-04-13
182,84038,5327,2024-03-16
183,110918,1881,2024-02-08
184,81574,2820,2024-02-27
185,85387,3116,2024-01-19
186,102834,6884,2024-03-27
187,67906,1370,2024-05-06
188,113036,8073,2024-05-03
189,48819,8651,2024-02-22
190,44485,6219,2024-02-16
191,97525,9153,2024-06-04
192,75051,2635,2024-05-05
193,105323,1129,2024-02-20
194,51326,5295,2024-06-24
195,66956,3637,2024-05-30
196,87663,8788,2024-02-29
197,89272,4250,2024-01-17
198,119634,2435,2024-03-12
199,87449,5192,2024-01-29
200,76444,2579,2024-03-28
201,93484,4859,2024-01-06
202,115881,7498,2024-03-16
203,51477,2325,2024-05-04
204,84550,9292,2024-03-27
205,66152,5432,2024-01-11
206,112862,5985,2024-05-02
207,47557,8083,2024-05-30
208,117285,7720,2024-05-29
209,84069,1372,2024-02-25
210,52383,4168,2024-04-09
211,87456,2506,2024-04-30
212,75312,7424,2024-05-29
213,87312,7653,2024-03-23
214,111968,4527,2024-03-31
215,72830,3251,2024-04-28
216,67018,1243,2024-06-12
217,99788,1374,2024-04-20
218,70301,5161,2024-05-24
219,107559,3512,2024-04-10
220,113878,7514,2024-02-07
221,58821,6999,2024-02-01
222,75620,7341,2024-06-11
223,69267,9993,2024-01-02
224,89279,6250,2024-02-21
225,55708,5471,2024-01-21
226,84785,4983,2024-06-12
227,74790,5935,2024-03-15
228,65735,3028,2024-05-17
229,40592,7941,2024-02-19
230,60183,2443,2024-02-08
231,105354,3785,2024-04-04
232,105276,1945,2024-06-19
233,77437,1848,2024-04-01
234,51408,1319,2024-02-21
235,50096,8640,2024-04-10
236,82441,6370,2024-03-19
237,72884,5669,2024-01-26
238,98085,4178,2024-04-28
239,80703,8441,2024-04-06
240,102782,3093,2024-02-22
241,61649,6088,2024-06-18
242,99253,4094,2024-02-03
243,76361,8782,2024-05-14
244,85548,2356,2024-01-04
245,94462,1759,2024-02-10
246,66703,5496,2024-03-06
247,96526,4387,2024-02-20
248,64993,2340,2024-05-17
249,99268,6785,2024-05-17
250,67536,6262,2024-06-16
251,75044,1877,2024-06-07
252,107399,8997,2024-01-22
253,96638,1081,2024-05-07
254,105371,3246,2024-01-07
255,113735,5594,2024-03-25
256,79421,5274,2024-03-01
257,81750,4670,2024-03-03
258,74658,7325,2024-04-30
259,99126,6947,2024-05-19
260,98523,5728,2024-06-27
261,55919,2080,2024-02-07
262,93743,5545,2024-03-05
263,73394,2896,2024-03-20
264,54859,9823,2024-05-31
265,95255,4049,2024-01-25
266,117799,7432,2024-05-04
267,65374,3978,2024-01-25
268,107674,6661,2024-02-18
269,71010,7195,2024-03-10
270,63203,8641,2024-05-27
271,79789,9629,2024-05-20
272,52912,6312,2024-06-26
273,77285,4963,2024-04-01
274,69764,3202,2024-03-26
275,114165,3437,2024-02-03
276,67661,8000,2024-05-13
277,95397,3321,2024-06-11
278,69459,3360,2024-03-09
279,84296,1337,2024-03-24
280,47008,1073,2024-06-13
281,58129,1740,2024-03-25
282,69893,4248,2024-03-20
283,67004,1739,2024-03-11
284,113828,6390,2024-04-23
285,106945,5669,2024-01-21
286,110533,9608,2024-01-18
287,64528,9604,2024-04-18
288,93478,5267,2024-06-04
289,85560,1178,2024-03-28
290,111592,6960,2024-01-26
291,108246,3469,2024-01-19
292,54591,9977,2024-01-04
293,63059,5239,2024-06-05
294,82756,1707,2024-04-11
295,112554,6616,2024-06-15
296,72891,4165,2024-05-16
297,71958,6330,2024-03-16
298,79228,8687,2024-05-07
299,100133,6146,2024-04-03
300,58013,9836,2024-02-16
301,69353,9281,2024-03-17
302,111208,4695,2024-05-03
303,99580,6715,2024-05-19
304,49425,5754,2024-01-19
305,69363,3656,2024-03-22
306,74088,6612,2024-01-12
307,49694,9579,2024-05-11
308,80542,2682,2024-06-12
309,84709,9397,2024-02-27
310,93630,6778,2024-04-26
311,47011,3316,2024-02-03
312,96487,7767,2024-02-28
313,80605,9007,2024-02-24
314,97852,7957,2024-04-12
315,59521,4792,2024-01-25
316,56151,3136,2024-04-18
317,74176,7445,2024-05-09
318,61871,7527,2024-05-11
319,67034,7363,2024-03-06
320,93977,1165,2024-01-01
321,119193,1434,2024-01-29
322,87320,2968,2024-01-01
323,90679,2228,2024-01-19
324,99855,6104,2024-03-06
325,99281,6043,2024-05-26
326,76720,2198,2024-03-06
327,92677,8579,2024-03-28
328,42963,4406,2024-06-13
329,86870,5966,2024-02-08
330,100781,6517,2024-02-17
331,80843,4588,2024-03-13
332,55265,5822,2024-06-20
333,64455,6391,2024-05-09
334,66743,8197,2024-04-20
335,109914,8338,2024-03-30
336,65136,2227,2024-02-20
337,116999,8387,2024-04-15
338,85295,3582,2024-02-03
339,109988,8278,2024-03-28
340,112279,2492,2024-03-18
341,111166,4767,2024-01-03
342,91714,2154,2024-01-21
343,84296,8833,2024-01-01
344,66885,2664,2024-01-21
345,112614,4423,2024-03-05
346,48804,1184,2024-05-20
347,60132,8278,2024-02-10
348,90053,6074,2024-03-01
349,84707,8726,2024-04-15
350,62616,6209,2024-01-23
351,78607,3765,2024-04-07
352,62898,2676,2024-05-31
353,49481,7462,2024-02-28
354,80068,1293,2024-06-21
355,104433,5051,2024-01-18
356,115358,5983,2024-01-20
357,93123,9092,2024-04-15
358,60045,8769,2024-04-29
359,41291,4869,2024-02-26
360,97741,4796,2024-05-23
361,75300,6393,2024-01-12
362,74897,9832,2024-02-17
363,65754,2506,2024-06-27
364,52230,9385,2024-06-11
365,90863,8213,2024-01-22
366,70306,2146,2024-05-12
367,102997,3737,2024-02-01
368,52180,6630,2024-03-27
369,45802,2345,2024-02-02
370,48058,2365,2024-02-02
371,57553,3482,2024-03-31
372,60441,8075,2024-02-20
373,79381,9676,2024-06-24
374,44207,3199,2024-06-10
375,111777,3170,2024-05-14
376,58670,3130,2024-02-02
377,79905,6222,2024-03-26
378,86617,1089,2024-05-16
379,111007,9942,2024-06-10
380,54937,4185,2024-04-20
381,52120,9347,2024-01-06
382,67117,9021,2024-04-18
383,108134,2537,2024-03-14
384,76915,3313,2024-01-04
385,94019,2873,2024-01-24
386,85486,6184,2024-01-20
387,47802,3295,2024-03-01
388,94685,6955,2024-01-17
389,69442,4577,2024-05-02
390,106181,9246,2024-05-29
391,44039,2316,2024-03-15
392,49635,9211,2024-02-10
393,62708,2007,2024-02-19
394,61863,4781,2024-05-20
395,83699,5820,2024-03-15
396,117158,7781,2024-02-14
397,106297,6289,2024-03-30
398,114675,1208,2024-05-05
399,60381,3704,2024-04-25
400,73393,3233,2024-04-07
401,99843,3326,2024-04-18
402,117690,2416,2024-06-11
403,76151,5926,2024-03-12
404,105112,2193,2024-02-06
405,42555,9294,2024-03-23
406,93752,3156,2024-05-04
407,100533,1907,2024-06-05
408,54707,6026,2024-01-02
409,72214,1091,2024-04-24
410,110841,2841,2024-03-22
411,53195,2097,2024-04-26
412,113298,2880,2024-02-15
413,101401,3792,2024-02-25
414,76076,5814,2024-03-08
415,74183,2716,2024-04-09
416,90973,4911,2024-03-01
417,116745,8533,2024-04-01
418,47228,4333,2024-05-02
419,100027,9743,2024-06-14
420,97447,9527,2024-05-28
421,86783,1662,2024-05-23
422,54226,6011,2024-03-31
423,117493,8998,2024-06-19
424,53596,9989,2024-05-24
425,117528,7243,2024-05-19
426,70281,4794,2024-06-24
427,88008,8752,2024-02-19
428,64530,1255,2024-03-07
429,43467,9035,2024-02-22
430,50716,7770,2024-05-30
431,62901,7385,2024-02-01
432,100241,6400,2024-02-06
433,69111,6471,2024-06-19
434,108623,2677,2024-02-13
435,40131,6070,2024-06-23
436,102570,5151,2024-03-30
437,99864,7149,2024-03-03
438,117525,9599,2024-05-04
439,41614,7186,2024-01-05
440,75695,6735,2024-03-13
441,77708,2381,2024-04-02
442,106827,2909,2024-04-30
443,98202,8096,2024-06-02
444,44845,5248,2024-05-16
445,61922,4409,2024-02-25
446,92222,7110,2024-05-11
447,116304,4218,2024-02-18
448,108129,6465,2024-01-05
449,96492,2565,2024-01-20
450,81768,8461,2024-03-30
451,66952,3993,2024-05-21
452,106666,6288,2024-04-10
453,73363,5593,2024-06-07
454,110386,8391,2024-06-24
455,111071,5199,2024-02-05
456,81622,4339,2024-02-08
457,63616,9504,2024-06-07
458,104799,9181,2024-03-16
459,97427,8615,2024-05-15
460,83827,7286,2024-04-26
461,105017,7337,2024-03-05
462,84428,6241,2024-04-17
463,45130,1373,2024-01-26
464,94772,1833,2024-01-07
465,81808,7180,2024-04-05
466,107267,3073,2024-03-21
467,90512,7216,2024-06-22
468,82113,3968,2024-03-31
469,66418,7538,2024-06-02
470,44562,7663,2024-06-19
471,48889,1948,2024-03-26
472,80719,3504,2024-03-12
473,49103,6347,2024-01-03
474,108935,3257,2024-02-08
475,119131,2175,2024-04-20
476,54552,6749,2024-02-09
477,44409,2205,2024-01-14
478,92026,5620,2024-04-05
479,83224,6549,2024-01-26
480,58701,6551,2024-05-08
481,46034,9871,2024-01-18
482,113678,6779,2024-05-19
483,95060,2258,2024-04-10
484,45703,2901,2024-05-14
485,70391,6042,2024-05-10
486,70955,3987,2024-04-17
487,92315,1594,2024-03-19
488,62572,2486,2024-04-29
489,47951,1101,2024-02-24
490,111627,5280,2024-02-10
491,74381,7834,2024-01-16
492,81470,1986,2024-03-24
493,47581,9715,2024-01-05
494,80580,3668,2024-04-15
495,110577,4211,2024-04-02
496,47209,7564,2024-05-19
497,49690,4966,2024-05-24
498,79855,4249,2024-03-07
499,91473,5044,2024-05-23
500,41344,7097,2024-06-26
